Id,Sales
1,4839.7812692613625
857,4854.211953511283
1713,5147.660225502381
2569,5725.238969044348
3425,4357.377262543333
4281,4357.377262543333
5137,3829.5009573082752
5993,3746.9597650291057
6849,3755.492480009998
7705,3761.2288215256444
8561,3946.6653621459986
9417,4359.666310933769
10273,4359.666310933769
11129,4831.105090653283
11985,4806.988504599231
12841,4826.903209819944
13697,5164.7378814229505
14553,5995.746090747147
15409,4424.490479004317
16265,4424.490479004317
17121,3842.218286828501
17977,3744.222629856435
18833,3752.7491117321547
19689,3758.481262879313
20545,3940.081992688908
21401,4417.384774807039
22257,4417.384774807039
23113,4822.971000497368
23969,4804.102110440154
24825,4824.004857719055
25681,5182.679276307437
26537,6008.543383313419
27393,4416.4643004170375
28249,4416.4643004170375
29105,3850.747850242691
29961,3796.8352686376434
30817,3802.719498791941
31673,3805.18692411052
32529,3968.6476307685534
33385,4416.4643004170375
34241,4416.4643004170375
35097,4871.274990995318
35953,4862.742696388858
36809,4903.993275533924
37665,5212.1801727420225
38521,6012.904798085814
39377,4416.4643004170375
40233,4416.4643004170375
2,7970.025892867051
858,8233.545390400292
1714,8476.110338640656
2570,9743.252757403949
3426,4211.789923299743
4282,4211.789923299743
5138,5626.53539703409
5994,5567.0574406070145
6850,5574.229025580452
7706,5588.110185678465
8562,5596.984306951312
9418,4211.789923299743
10274,4211.789923299743
11130,7955.28778296129
11986,7978.835933397867
12842,8237.699974537472
13698,8476.110338640656
14554,9738.010923782207
15410,4219.201454528178
16266,4219.201454528178
17122,5651.547255830536
17978,5589.091101551235
18834,5593.566449276701
19690,5607.49576417299
20546,5616.400670446262
21402,4219.201454528178
22258,4219.201454528178
23114,7955.28778296129
23970,7978.835933397867
24826,8244.6914031306
25682,8484.239933022383
26538,9728.765878552718
27394,4226.9291902961795
28250,4226.9291902961795
29106,5653.937775175166
29962,5602.23435434597
30818,5615.862640785965
31674,5649.575880007259
32530,5658.54761102784
33386,4240.7721595861485
34242,4240.7721595861485
35098,7968.142489417876
35954,8009.4103113229
36810,8277.675138813795
37666,8498.936399674632
38522,9725.14175424751
39378,4378.769635038272
40234,4378.769635038272
3,8643.586516881085
859,8617.075120176238
1715,9137.297874595806
2571,10899.048673345698
3427,3057.4559936021165
4283,6207.825696422592
5139,6207.825696422592
5995,6167.155578004754
6851,6167.155578004754
7707,6167.155578004754
8563,6167.155578004754
9419,3202.7024309368107
10275,6207.825696422592
11131,8706.747966751023
11987,8701.930213428248
12843,8675.23986636739
13699,9162.395168951909
14555,11149.243372606317
15411,2887.358007416353
16267,6207.825696422592
17123,6207.825696422592
17979,6167.155578004754
18835,6167.155578004754
19691,6167.155578004754
20547,6167.155578004754
21403,2881.335094708299
22259,6207.825696422592
23115,8877.39917952024
23971,8872.48699881189
24827,8845.273524159358
25683,9175.930424690387
26539,11160.167657306867
27395,3028.9898188057
28251,6207.825696422592
29107,6207.825696422592
29963,6167.155578004754
30819,6167.155578004754
31675,6167.155578004754
32531,6167.155578004754
33387,3059.1188975857654
34243,6207.825696422592
35099,8877.39917952024
35955,8872.48699881189
36811,8845.273524159358
37667,9175.930424690387
38523,11167.891966356925
39379,3066.5219348834103
40235,6207.825696422592
4,6830.883171664078
860,6777.705598563053
1716,7734.685007943386
2572,9286.466173536795
3428,3586.048008012015
4284,3586.048008012015
5140,5240.212957271069
5996,5237.468541870365
6852,5151.237948192936
7708,5176.591203011732
8564,5243.345951182745
9420,3586.048008012015
10276,3586.048008012015
11132,6494.084800682177
11988,6830.883171664078
12844,6777.705598563053
13700,7748.402309982797
14556,9349.268993505551
15412,3586.048008012015
16268,3586.048008012015
17124,5334.93371847735
17980,5386.04529657
18836,5315.858064958123
19692,5388.758359003281
20548,5463.597904362706
21404,3586.048008012015
22260,3586.048008012015
23116,6595.6003908700395
23972,6997.016014302414
24828,6904.174610697665
25684,7653.323653390347
26540,9215.177089656749
27396,3586.048008012015
28252,3586.048008012015
29108,5334.93371847735
29964,5386.04529657
30820,5315.858064958123
31676,5388.758359003281
32532,5463.597904362706
33388,3586.048008012015
34244,3586.048008012015
35100,6598.619962710779
35956,7000.219360665732
